ID,Name,Nexus_File,rooted,type,method,scaling,Source
summary,TREE1,summary.trees,,summary,bayesian,centuries,grollemund2015
posterior-1,tree.556080000.61430.650391,posterior.trees,,sample,bayesian,centuries,grollemund2015
posterior-2,tree.560080000.61466.723424,posterior.trees,,sample,bayesian,centuries,grollemund2015
posterior-3,tree.564080000.61517.721197,posterior.trees,,sample,bayesian,centuries,grollemund2015
posterior-4,tree.568080000.61448.025285,posterior.trees,,sample,bayesian,centuries,grollemund2015
posterior-5,tree.572080000.61402.040147,posterior.trees,,sample,bayesian,centuries,grollemund2015
posterior-6,tree.576080000.61441.034966,posterior.trees,,sample,bayesian,centuries,grollemund2015
posterior-7,tree.580080000.61471.237850,posterior.trees,,sample,bayesian,centuries,grollemund2015
posterior-8,tree.584080000.61442.087566,posterior.trees,,sample,bayesian,centuries,grollemund2015
posterior-9,tree.588080000.61407.917917,posterior.trees,,sample,bayesian,centuries,grollemund2015
posterior-10,tree.592080000.61434.027663,posterior.trees,,sample,bayesian,centuries,grollemund2015
posterior-11,tree.596080000.61458.307167,posterior.trees,,sample,bayesian,centuries,grollemund2015
posterior-12,tree.600080000.61410.159934,posterior.trees,,sample,bayesian,centuries,grollemund2015
posterior-13,tree.604080000.61474.037158,posterior.trees,,sample,bayesian,centuries,grollemund2015
posterior-14,tree.608080000.61421.700162,posterior.trees,,sample,bayesian,centuries,grollemund2015
posterior-15,tree.612080000.61406.612514,posterior.trees,,sample,bayesian,centuries,grollemund2015
posterior-16,tree.616080000.61450.292731,posterior.trees,,sample,bayesian,centuries,grollemund2015
posterior-17,tree.620080000.61450.999728,posterior.trees,,sample,bayesian,centuries,grollemund2015
posterior-18,tree.624080000.61423.909134,posterior.trees,,sample,bayesian,centuries,grollemund2015
posterior-19,tree.628080000.61463.582240,posterior.trees,,sample,bayesian,centuries,grollemund2015
posterior-20,tree.632080000.61454.373030,posterior.trees,,sample,bayesian,centuries,grollemund2015
posterior-21,tree.636080000.61465.962169,posterior.trees,,sample,bayesian,centuries,grollemund2015
posterior-22,tree.640080000.61452.929643,posterior.trees,,sample,bayesian,centuries,grollemund2015
posterior-23,tree.644080000.61415.812839,posterior.trees,,sample,bayesian,centuries,grollemund2015
posterior-24,tree.648080000.61450.221547,posterior.trees,,sample,bayesian,centuries,grollemund2015
posterior-25,tree.652080000.61427.174741,posterior.trees,,sample,bayesian,centuries,grollemund2015
posterior-26,tree.560740000.61462.652815,posterior.trees,,sample,bayesian,centuries,grollemund2015
posterior-27,tree.564740000.61437.084186,posterior.trees,,sample,bayesian,centuries,grollemund2015
posterior-28,tree.568740000.61477.113186,posterior.trees,,sample,bayesian,centuries,grollemund2015
posterior-29,tree.572740000.61414.193238,posterior.trees,,sample,bayesian,centuries,grollemund2015
posterior-30,tree.576740000.61441.315758,posterior.trees,,sample,bayesian,centuries,grollemund2015
posterior-31,tree.580740000.61434.699913,posterior.trees,,sample,bayesian,centuries,grollemund2015
posterior-32,tree.584740000.61481.310800,posterior.trees,,sample,bayesian,centuries,grollemund2015
posterior-33,tree.588740000.61465.655510,posterior.trees,,sample,bayesian,centuries,grollemund2015
posterior-34,tree.592740000.61400.931765,posterior.trees,,sample,bayesian,centuries,grollemund2015
posterior-35,tree.596740000.61470.626257,posterior.trees,,sample,bayesian,centuries,grollemund2015
posterior-36,tree.600740000.61440.792606,posterior.trees,,sample,bayesian,centuries,grollemund2015
posterior-37,tree.604740000.61420.000049,posterior.trees,,sample,bayesian,centuries,grollemund2015
posterior-38,tree.608740000.61453.328854,posterior.trees,,sample,bayesian,centuries,grollemund2015
posterior-39,tree.612740000.61422.091844,posterior.trees,,sample,bayesian,centuries,grollemund2015
posterior-40,tree.616740000.61445.863184,posterior.trees,,sample,bayesian,centuries,grollemund2015
posterior-41,tree.620740000.61425.654908,posterior.trees,,sample,bayesian,centuries,grollemund2015
posterior-42,tree.624740000.61441.971144,posterior.trees,,sample,bayesian,centuries,grollemund2015
posterior-43,tree.628740000.61418.522610,posterior.trees,,sample,bayesian,centuries,grollemund2015
posterior-44,tree.632740000.61469.239841,posterior.trees,,sample,bayesian,centuries,grollemund2015
posterior-45,tree.636740000.61426.255716,posterior.trees,,sample,bayesian,centuries,grollemund2015
posterior-46,tree.640740000.61423.241590,posterior.trees,,sample,bayesian,centuries,grollemund2015
posterior-47,tree.644740000.61415.982673,posterior.trees,,sample,bayesian,centuries,grollemund2015
posterior-48,tree.648740000.61437.204148,posterior.trees,,sample,bayesian,centuries,grollemund2015
posterior-49,tree.652740000.61434.801331,posterior.trees,,sample,bayesian,centuries,grollemund2015
posterior-50,tree.656740000.61491.775790,posterior.trees,,sample,bayesian,centuries,grollemund2015
posterior-51,tree.264480000.61429.330225,posterior.trees,,sample,bayesian,centuries,grollemund2015
posterior-52,tree.268480000.61440.908030,posterior.trees,,sample,bayesian,centuries,grollemund2015
posterior-53,tree.272480000.61446.064661,posterior.trees,,sample,bayesian,centuries,grollemund2015
posterior-54,tree.276480000.61434.692368,posterior.trees,,sample,bayesian,centuries,grollemund2015
posterior-55,tree.280480000.61467.992790,posterior.trees,,sample,bayesian,centuries,grollemund2015
posterior-56,tree.284480000.61458.924899,posterior.trees,,sample,bayesian,centuries,grollemund2015
